Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
1	Town02	1716.98	704.05	84.89	0	1	0	0	S	S	F
2	Town03	1165.52	489.7	100	0	0	0	0	S	S	S
3	Town03	2945.57	1079.55	100	0	0	0	0	S	S	S
4	Town04	1362.9	479.95	35.54	0	0	0	0	S	F	S
5	Town03	1490.33	551.7	100	0	0	0	0	S	S	S
6	Town03	890.21	356.2	100	0	0	0	1	S	S	S
7	Town03	1518.95	581.7	100	0	0	1	1	S	S	S
8	Town03	2646.25	1001.55	99.18	0	1	2	0	S	F	S
9	Town03	549.98	191.3	2.39	0	1	0	0	S	F	S
10	Town02	1990.66	815.05	93.19	0	0	0	0	S	S	F
11	Town02	535.49	209.3	9.35	0	0	0	0	S	F	S
12	Town02	1791.1	704.05	57.8	0	0	0	0	S	S	F
13	Town04	1068.47	380.9	32.59	0	0	0	0	S	F	S
-	-	-	-	-	-	-	-	-	-	-	-
				70.379	0.0	3.0	3.0	2.0			
